phone_name,url,user_name,comment_text,star_ratings,bought_at,recommendation
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Lý Đức Nghĩa,"Mới sắm em này được 4 ngày , khỏi phải bàn về ưu điểm và cảm nhận đi , nó chỉ 1 một chữ phê với chữ ê kéo dài 2-3km =))) Nv tư vấn nhiệt tình mua máy xong xúi đừng mua ốp lưng với dán cường lực ở đây chi cho mắc >",5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Nguyễn Ngọc Bùi,Good,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Tran Minh Man,ok sản phẩm,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Hải,Mới mua 2 cái nói chung ok hết mõi tội màu tím k đẹp như mọi người nghĩ nhưng đã lỡ mua 2 cái màu tím rồi nên chịu thấy màu vàng mới là màu đẹp á,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Nguyễn Thành Nam,Sản phẩm tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Bui Viet Vu,Ok mà,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Chị Tin,sản phẩm tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Chu Hào,"Quá tuyệt vời, khen hết lời lời luôn, mình rất thích màu vàng",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Lê Mạnh Cường,Máy sử dụng tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Le Nhat Truong,Tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Hoàng Thị Hương,"Hàng tốt, nhân viên rất nhiệt tình",5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Đặng Thị Hương Giang,Sp tuyệt vời ạ,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Mai Thi Thúy,ưng lắm nha,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Võ Trong Đức Tài,nhân viên tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Bưng Cao,Nhân viên nhiệt tình tư vấn tận tâm luôn . Sp rất là tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Ngô Nhật Trường,Máy ok,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Nguyễn Minh Nhiều,Không có gì để nói thêm vì máy rất tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Trần Minh Trí,"Sản phẩm tốt rất ok, sử dụng hơn tháng rồi nói chung vẫn thích hệ sinh thái của apple hơn là các dòng android cao cấp khác, very good",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Trần Văn Thuận,Sản phẩm rất tốt. Nhân viên rất nhiệt tình,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
